URL	Data	Titulo	Author	Claim	reviewBody	is_fake
https://www.estadao.com.br/estadao-verifica/falso-anvisa-aprovou-uso-polilaminina-sus/	2026-09-18	falso que a Anvisa tenha aprovado uso da polilaminina no SUS	Estadão Verifica	Anvisa aprova uso da polilaminina no SUS	falso que a Anvisa tenha aprovado uso da polilaminina no SUS	True
https://observador.pt/factchecks/fact-check-japao-aprovou-cama-que-trata-doencas-graves-com-recurso-a-frequencias-magneticas/	2026-09-14	Fact Check. Japão aprovou cama que trata doenças graves com recurso a frequências magnéticas	Observador	O Japão aprovou oficialmente a tecnologia de Medbed com regeneração de frequência eletromagnética para hospitais públicos.	Fact Check. Japão aprovou cama que trata doenças graves com recurso a frequências magnéticas	True
https://www.boatos.org/saude/nao-coma-alface-couve-e-brocolis-dos-estados-unidos-porque-estao-vindo-com-veneno-letal.html	2026-09-13	É falso que alface, couve e brócolis dos Estados Unidos estejam com veneno letal	Boatos.org	Não coma nenhum alimento que está sobre a terra: alface, couve, que não seja cozido. E nós recebemos essa informação lá em Milão, porque quimicamente vão receber veneno letal. Julho, início de agosto, várias filhas minhas que moram nos Estados Unidos falaram: “Mãe, aqui nos Estados Unidos não podemos mais comer alface, rúcula, brócolis.” — Você está falando veneno normal como agrotóxico? — Agrotóxico. — É que isso está sendo usado já há dezenas de anos. — Mas é modificado, tá? É pra trazer doenças corpóreas letais: diarreia, vômito, o intestino ele seca… Terrivel!	Análise Um trecho de vídeo extraído de uma entrevista em podcast vem circulando com frequência em plataformas digitais e aplicativos de mensagens. Na gravação, uma convidada faz um alerta contundente para que as pessoas evitem ingerir verduras e hortaliças cruas, citando especificamente alface, couve, rúcula e brócolis produzidos ou comercializados nos Estados Unidos. Segundo a fala, esses vegetais teriam recebido a aplicação de um agrotóxico modificado concebido para provocar sintomas severos e envenenamento letal nos consumidores. A narrativa tenta relacionar o alerta a uma suposta alteração química ou ao uso deliberado de agrotóxicos para provocar doenças. Leia a versão que circula online: Não coma nenhum alimento que está sobre a terra: alface, couve, que não seja cozido. E nós recebemos essa informação lá em Milão, porque quimicamente vão receber veneno letal. Julho, início de agosto, várias filhas minhas que moram nos Estados Unidos falaram: “Mãe, aqui nos Estados Unidos não podemos mais comer alface, rúcula, brócolis.” — Você está falando veneno normal como agrotóxico? — Agrotóxico. — É que isso está sendo usado já há dezenas de anos. — Mas é modificado, tá? É pra trazer doenças corpóreas letais: diarreia, vômito, o intestino ele seca… Terrivel! Checagem Para verificar a alegação, analisamos o caso sanitário que envolveu alface nos Estados Unidos e as informações oficiais e jornalísticas sobre a investigação, respondendo às seguintes perguntas: 1) Não coma alface, couve e brócolis dos Estados Unidos porque estão vindo com veneno letal? 2) Qual foi o caso real que suscitou a história que aponta que alface, couve e brócolis dos Estados Unidos estão vindo com veneno letal? 3) Há fake news similares a esta? Não. Não há nenhum fundamento na alegação de que hortaliças dos Estados Unidos estão sendo tratadas com agrotóxicos letais modificados para adoecer a população de forma generalizada. A fonte das declarações no vídeo é uma página que habitualmente dissemina teorias conspiratórias sem qualquer amparo científico ou respaldo de autoridades sanitárias oficiais. Órgãos de fiscalização agrícola e sanitária norte-americanos e brasileiros monitoram constantemente a presença de defensivos nos alimentos e não emitiram nenhum alerta sobre envenenamento deliberado em lavouras de folhas. O relato alarmista distorceu um fato real de contaminação bacteriana pontual. Naquele período, autoridades de saúde dos Estados Unidos investigaram um surto de infecção provocado pela bactéria Escherichia coli associado a lotes específicos de hortaliças comercializadas no país. O caso levou ao recolhimento preventivo temporário de alfaces em algumas redes de supermercados locais, como repercutido nas notícias da época sobre o surto de doença investigado em alfaces nos EUA . Tratou-se, portanto, de um problema biológico e sanitário pontual em lavouras específicas, e não de uma ação de envenenamento químico sistemático ou generalizado como afirmado no podcast. Sim. Alegações sobre alimentos supostamente contaminados ou capazes de provocar doenças graves são recorrentes nas redes sociais, especialmente quando existe algum caso real de contaminação que pode ser retirado do contexto. O Boatos.org já verificou uma alegação de que tapioca teria veneno de cianeto capaz de matar consumidores . Também foi checada uma publicação sobre água em recipientes plásticos e uma suposta relação direta com câncer de mama . O padrão é semelhante: uma ameaça à saúde é apresentada de forma abrangente e alarmista, enquanto o conteúdo original ou o caso que deu origem à história é muito mais específico. A existência de um surto ou de uma investigação sanitária não autoriza concluir que todos os alimentos de determinada categoria estejam contaminados. Conclusão A afirmação de que verduras produzidas nos Estados Unidos recebem um veneno letal modificado é falsa. O vídeo pega uma investigação sanitária sobre contaminação bacteriana em lotes de alface e a transforma em uma teoria da conspiração infundada. Fake news ❌ Ps: Esse artigo é uma sugestão de leitores do Boatos.org . Se você quiser sugerir um tema ao Boatos.org , entre em contato com a gente pelo e-mail boatos.org@gmail.com e WhatsApp (link aqui: https://wa.me/556192755610 )	True
https://www.boatos.org/saude/ja-foi-decidido-que-a-vacina-contra-contra-herpes-zoster-vai-passar-a-ser-oferecida-gratuitamente-no-sus.html	2026-09-11	Não é verdade que vacina contra herpes-zóster já esteja disponível gratuitamente no SUS	Boatos.org	VACINA DE R$ 800 SERÁ GRATUITA NO SUS PARA BRASILEIROS ACIMA DE 50 ANOS! Leia a legenda Uma excelente notícia para milhões de brasileiros: em breve, a vacina contra o herpes-zóster — doença conhecida pelas dores intensas e que atinge principalmente pessoas acima de 50 anos — será disponibilizada de forma gratuita pelo SUS. O anúncio foi feito pelo ministro da Saúde, Alexandre Padilha, após solicitação de uma deputada que enfrentou a doença e levou o tema à Comissão de Saúde da Câmara. Atualmente, o imunizante só pode ser adquirido na rede privada, com duas doses que custam cerca de R$ 800. Sua inclusão no Sistema Único de Saúde representa um grande avanço na prevenção dessa enfermidade silenciosa, mas extremamente dolorosa.	Análise Mensagens que circulam com força nas redes sociais e em aplicativos de mensagem indicam que o Sistema Único de Saúde (SUS) passará a oferecer gratuitamente a vacina contra o herpes-zóster para pessoas com mais de 50 anos. O texto reforça que o custo na rede privada é elevado e que a distribuição pública seria uma conquista iminente após declarações oficiais do Ministério da Saúde. A publicação ganhou tração em meio a debates recentes sobre a imunização da população idosa e discussões no meio político sobre a prevenção da neuralgia pós-herpética, condição dolorosa provocada pela reativação do vírus varicela-zóster. Leia: VACINA DE R$ 800 SERÁ GRATUITA NO SUS PARA BRASILEIROS ACIMA DE 50 ANOS! Leia a legenda Uma excelente notícia para milhões de brasileiros: em breve, a vacina contra o herpes-zóster — doença conhecida pelas dores intensas e que atinge principalmente pessoas acima de 50 anos — será disponibilizada de forma gratuita pelo SUS. O anúncio foi feito pelo ministro da Saúde, Alexandre Padilha, após solicitação de uma deputada que enfrentou a doença e levou o tema à Comissão de Saúde da Câmara. Atualmente, o imunizante só pode ser adquirido na rede privada, com duas doses que custam cerca de R$ 800. Sua inclusão no Sistema Único de Saúde representa um grande avanço na prevenção dessa enfermidade silenciosa, mas extremamente dolorosa. Checagem Para verificar a alegação, analisamos a tramitação da proposta no Congresso e as decisões anteriores do Ministério da Saúde sobre o imunizante, respondendo às seguintes perguntas: 1) Já foi decidido que a vacina contra contra herpes-zóster vai passar a ser oferecida gratuitamente no SUS? 2) O que há de real na história que aponta que a vacina contra contra herpes-zóster vai passar a ser oferecida gratuitamente no SUS? 3) Há fake news similares a esta? Não. Não há qualquer decisão final ou aprovação vigente para a inclusão da vacina de herpes-zóster no Calendário Nacional de Imunização do SUS no momento. Embora o tema esteja em pauta nas instâncias legislativas e executivas, a incorporação oficial não foi efetuada. Há dois fatos que ajudam a explicar a origem da publicação. O primeiro é justamente a tramitação do projeto no Senado. O texto aprovado prevê a vacinação gratuita para pessoas com mais de 50 anos e também para maiores de 18 anos com imunossupressão ou outras condições que comprometam o sistema imunológico. O segundo envolve uma declaração feita em 2025 pelo ministro da Saúde, Alexandre Padilha, sobre a possibilidade de o SUS distribuir a vacina. A fala passou a ser resgatada nas redes sociais, mas ela não significou a incorporação automática do imunizante. Além disso, em janeiro de 2026, o Ministério da Saúde havia decidido não incorporar ao SUS a vacina recombinante adjuvada contra o herpes-zóster para idosos com 80 anos ou mais e pessoas imunocomprometidas com 18 anos ou mais. A decisão foi formalizada por portaria da Secretaria de Ciência, Tecnologia e Inovação em Saúde e poderia ser reavaliada caso surgissem fatos novos. O avanço do projeto no Congresso representa, portanto, uma mudança no cenário legislativo, mas não deve ser confundido com a disponibilização imediata da vacina nos postos de saúde. Sim. É costumeiro surgirem conteúdos enganosos prometendo vacinas gratuitas ou tratamentos de alto custo no SUS com base em projetos de lei ou boatos de postos de saúde. Um exemplo é a checagem que desmentiu que a vacina Pneumo 23 estaria liberada para maiores de 58 anos em todo o Brasil , assim como a falsa alegação de que idosos teriam direito à vacina Pneumo 13 devido a uma lei específica no Rio de Janeiro . Conclusão A vacina contra o herpes-zóster ainda não passou a ser oferecida gratuitamente pelo SUS para brasileiros acima de 50 anos. Existe um projeto que prevê essa inclusão e que avançou no Senado em setembro de 2026, mas a proposta ainda precisa cumprir as etapas legislativas. Portanto, a publicação transforma o avanço de um projeto em uma decisão já concluída. Fake news ❌ Ps: Esse artigo é uma sugestão de leitores do Boatos.org . Se você quiser sugerir um tema ao Boatos.org , entre em contato com a gente pelo e-mail boatos.org@gmail.com e WhatsApp (link aqui: https://wa.me/556192755610 )	True
https://www.boatos.org/saude/masako-soga-de-81-anos-se-curou-do-alzheimer-apos-tomar-cogumelos-com-psilocibina.html	2026-09-08	História que aponta que idosa chamada Masako Soga recuperou a fala e se curou do Alzheimer após usar psilocibina distorce realidade	Boatos.org	Masako Soga, uma idosa nipo-americana de 81 anos diagnosticada com Alzheimer avançado, surpreendeu a comunidade médica após recuperar a fala e a lucidez depois de quase cinco anos em silêncio absoluto. O caso extraordinário ocorreu sob rigorosa supervisão médica em uma clínica na Jamaica, onde a paciente recebeu uma dose de 5 gramas de cogumelos contendo psilocibina, a substância ativa dos chamados “cogumelos mágicos”. Cerca de 19 horas após a ingestão, a idosa despertou de um sono profundo conversando em frases completas, fazendo piadas e relembrando memórias autobiográficas complexas. O relato clínico, publicado na revista científica Frontiers in Neuroscience pelos pesquisadores Simon Ruffell e Nigel Strauss, também documentou que ela recuperou temporariamente a capacidade de andar sem assistência e o controle de suas funções fisiológicas.	Análise A publicação de estudos sobre os efeitos terapêuticos de compostos psicodélicos costuma atrair forte atenção da comunidade médica e do público geral. Recentemente, passou a circular na internet o relato de uma mulher idosa chamada Masako Soga, descrita como uma paciente nipo-americana de 81 anos que teria sido submetida a um tratamento experimental com psilocibina em uma clínica jamaicana. De acordo com os textos virais, a substância teria proporcionado a cura da doença de Alzheimer, permitindo que a paciente retomasse a fala, a mobilidade e as lembranças após anos de silêncio. As postagens vêm acompanhadas por uma imagem de uma idosa de origem asiática que seria a protagonista do experimento. Leia: Masako Soga, uma idosa nipo-americana de 81 anos diagnosticada com Alzheimer avançado, surpreendeu a comunidade médica após recuperar a fala e a lucidez depois de quase cinco anos em silêncio absoluto. O caso extraordinário ocorreu sob rigorosa supervisão médica em uma clínica na Jamaica, onde a paciente recebeu uma dose de 5 gramas de cogumelos contendo psilocibina, a substância ativa dos chamados “cogumelos mágicos”. Cerca de 19 horas após a ingestão, a idosa despertou de um sono profundo conversando em frases completas, fazendo piadas e relembrando memórias autobiográficas complexas. O relato clínico, publicado na revista científica Frontiers in Neuroscience pelos pesquisadores Simon Ruffell e Nigel Strauss, também documentou que ela recuperou temporariamente a capacidade de andar sem assistência e o controle de suas funções fisiológicas. Checagem Para verificar a história que circula nas redes sociais, consultamos o estudo científico citado nas publicações e analisamos a identificação atribuída à paciente, respondendo às seguintes perguntas: 1) Masako Soga, de 81 anos, se curou do Alzheimer após tomar cogumelos com psilocibina? 2) O que há de real na história da idosa que se curou do Alzheimer após tomar cogumelos com psilocibina? 3) Quem é Masako Soga, uma nipo-americana de 81 anos? Não. O estudo científico não afirma que a paciente tenha sido curada do Alzheimer. O artigo descreve uma melhora funcional temporária após a administração de psilocibina, mas ressalta que os resultados não representam reversão da doença. O trabalho publicado na Frontiers in Neuroscience relata o caso de uma mulher nipo-americana com histórico de aproximadamente dez anos de Alzheimer. Durante os cinco anos anteriores ao tratamento, ela havia apresentado redução importante da fala, da mobilidade, da interação social e de outras funções. Após receber 5 gramas de cogumelos contendo psilocibina, os pesquisadores observaram o surgimento de fala autobiográfica cerca de 19 horas depois e outras melhorias nos dias e semanas seguintes. Os autores são explícitos sobre a limitação do caso. Na conclusão, afirmam que os resultados não devem ser interpretados como reversão da patologia do Alzheimer. O estudo é um relato de caso único e não permite estabelecer causalidade entre a substância e todas as mudanças observadas. A parte verídica refere-se à existência de um estudo de caso acadêmico publicado por pesquisadores na revista Frontiers in Neuroscience. A pesquisa documentou melhora temporária e episódica na comunicação de uma paciente idosa sob protocolo experimental. No entanto, os próprios autores ressaltam que se trata de um evento isolado que não representa cura da doença e que exige mais estudos clínicos. A mulher retratada na fotografia que viralizou não existe na vida real. Trata-se de uma imagem genérica gerada por computador que já vinha sendo utilizada como foto de estoque em anúncios médicos e artigos de saúde desde anos anteriores. Embora existam registros públicos de pessoas com o nome Masako Soga catalogadas em bases de dados de longevidade, como a ficha da plataforma Gerontology Wiki sobre indivíduos de mesmo nome , elas não possuem relação com a imagem artificial propagada nas redes. Conclusão O caso científico é real, mas a mensagem viral apresenta conclusões que o estudo não sustenta. Uma mulher nipo-americana com Alzheimer avançado apresentou melhorias funcionais temporárias após receber psilocibina, mas os pesquisadores não afirmam que houve cura ou reversão da doença. Além disso, o artigo não identifica a paciente como Masako Soga. A atribuição desse nome e a transformação do resultado observado em uma “cura do Alzheimer” não têm respaldo no estudo publicado. Fake news ❌ Ps: Esse artigo é uma sugestão de leitores do Boatos.org . Se você quiser sugerir um tema ao Boatos.org , entre em contato com a gente pelo e-mail boatos.org@gmail.com e WhatsApp (link aqui: https://wa.me/556192755610 )	True
https://www.estadao.com.br/estadao-verifica/falso-doenca-creutzfeldt-jakob-vacinas-lito-souza/	2026-08-31	Cuidado com os enganadores: não há relação entre a doença Creutzfeldt-Jakob e vacinas da covid-19	Estadão Verifica	Diagnóstico de Lito Souza com doença Creutzfeldt-Jakob está relacionada a vacinas covid-19	Cuidado com os enganadores: não há relação entre a doença Creutzfeldt-Jakob e vacinas da covid-19	True
https://observador.pt/factchecks/fact-check-bolsonaro-foi-considerado-inocente-apos-comissao-de-inquerito-a-covid-19/	2026-08-31	Bolsonaro foi ilibado por comissão de inquérito à Covid-19 ...	Observador	A Polícia Federal encerrou uma das investigações relacionadas aos fatos apurados no contexto da CPI da Covid e, nesse procedimento, não atribuiu crimes ao ex-presidente Jair Bolsonaro.	Bolsonaro foi ilibado por comissão de inquérito à Covid-19 ...	True
https://observador.pt/factchecks/fact-check-novas-informacoes-provam-que-ivermectina-tem-70-de-eficacia-contra-a-covid-19/	2026-08-30	Fact Check. Novas informações provam que ivermectina tem 70 ...	Observador	Novas informações provam que ivermectina tem 70% de eficácia contra a Covid-19.	Fact Check. Novas informações provam que ivermectina tem 70 ...	True
https://www.boatos.org/saude/japao-aprova-tecnologia-de-medbeds-em-hospitais-publicos-na-diretriz-mhlw-2026-7714.html	2026-08-28	Publicações inventam diretriz governamental sobre uso de tecnologia ‘MedBeds’ no Japão	Boatos.org	Japão aprova tecnologia de MedBeds em hospitais públicos, enquanto a grande mídia silencia a notícia – 26 de agosto de 2026 Japão aprova tecnologia de MedBeds; grande mídia bloqueia a notícia Segundo o MedBedsTechnologyNew, o Japão tornou-se o primeiro país do mundo a aprovar oficialmente o uso da tecnologia de MedBeds (leitos médicos) em hospitais públicos. A mídia bloqueou completamente essa notícia. 17 de julho de 2026, Tóquio, Japão. O Ministério da Saúde, Trabalho e Bem-Estar do Japão acaba de emitir a Diretriz MHLW-2026-7714: “Aprovação da aplicação clínica de equipamentos de regeneração por frequência eletromagnética em instituições médicas nacionais”. Não se trata de um teste ou estudo, mas de uma aprovação definitiva. A partir de 1º de setembro de 2026, 340 hospitais nacionais em todo o Japão instalarão módulos de regeneração por frequência eletromagnética. Por que o Japão assumiu a liderança nessa adoção? O Japão possui a população mais idosa do mundo. 29,1% dos cidadãos japoneses têm mais de 65 anos. Seu sistema de saúde está entrando em colapso sob o peso do tratamento de doenças crônicas. Em 2024, os gastos com saúde no Japão atingiram US$ 542 bilhões; 80% desse valor foi utilizado para tratar doenças que poderiam ser erradicadas com apenas um ciclo de tratamento utilizando tecnologia de frequência. O governo japonês fez os cálculos: custo do tratamento de câncer ao longo da vida para um paciente: US$ 380.000; custo de um único tratamento com MedBed: US$ 67 (eletricidade + manutenção: US$ 47); economia por paciente: US$ 379.953; e economia anual em nível nacional: US$ 430 bilhões. O Japão escolheu os benefícios econômicos em detrimento da lealdade às empresas farmacêuticas. Escolheu a sobrevivência em vez da inibição. Tecnologia aprovada: A Diretriz nº 2026-7714 do Ministério da Saúde, Trabalho e Bem-Estar do Japão autoriza explicitamente três tipos de equipamentos: Tipo I – Câmara de regeneração por campo eletromagnético pulsado: campo eletromagnético pulsado de 7,83-14,1 Hz para tratamento sistêmico que promove a regeneração celular. Indicações aprovadas: câncer, falência de órgãos, doenças autoimunes. Tipo II – Instrumento de reparo de DNA por campo de torção: utiliza tecnologia de onda escalar de 528 Hz para reparo direcionado do DNA. Indicações aprovadas: doenças genéticas, reversão do envelhecimento, danos nervosos. Restaurador de coerência de biofótons Tipo II: utiliza terapia de frequência de luz de espectro total para reparar o sistema imunológico. Indicações aprovadas: reabilitação pós-infecção crônica ou cirurgia, danos por radiação. Esses três tipos de equipamentos são “camas médicas” (medbeds). O Japão acaba de conceder-lhes números oficiais de classificação médica. Resposta da indústria farmacêutica: Nas três horas seguintes ao anúncio: a Pfizer Japão protestou formalmente junto ao Ministério da Saúde, Trabalho e Bem-Estar; as ações da Takeda Pharmaceutical caíram 11% na Bolsa de Valores de Tóquio; a Astellas Pharma convocou uma reunião de emergência do conselho; circularam rumores de que o CEO renunciaria; e a Associação da Indústria Farmacêutica do Japão classificou a medida como uma “ameaça imprudente à saúde pública”. Eles, na verdade, chamaram a cura de pacientes de “prejuízo à saúde pública”. A definição deles de “saúde pública” é: deixar as pessoas doentes para sempre e incapazes de pagar. Bloqueio da mídia: Basta pesquisar no Google agora por “approved by MedBed Japan” (aprovado pela MedBed Japão) e você não encontrará nada. Não há CNN, BBC, Reuters ou Associated Press. Nada. O fato de um dos membros do G7 ter acabado de aprovar a tecnologia médica mais revolucionária da história da humanidade, enquanto toda a mídia ocidental faz vista grossa, não é um descuido, mas uma supressão organizada. Somente nos Estados Unidos, a indústria farmacêutica gasta US$ 6,58 bilhões anualmente em publicidade na mídia. Esse dinheiro não foi usado apenas para comprar espaço publicitário, mas também, no Japão, para fechar as portas à informação. O que isso significa para você? O Japão é uma rachadura na barragem. Uma vez que um Estado-membro do G7 aprova uma tecnologia, outros países não podem continuar encobrindo a verdade. A pressão se tornará insuportável. Essa ciência e tecnologia foram agora oficialmente reconhecidas por um dos sistemas de saúde mais avançados do mundo.	Análise Uma mensagem que circula nas redes sociais afirma que o Japão teria aprovado oficialmente uma tecnologia chamada “MedBeds” para utilização em hospitais públicos. Segundo a publicação, a suposta medida permitiria o uso de equipamentos capazes de regenerar células, reparar DNA e tratar doenças graves por meio de frequências eletromagnéticas. O conteúdo cita uma suposta “Diretriz MHLW-2026-7714” e afirma que 340 hospitais japoneses receberiam os equipamentos a partir de setembro de 2026. A publicação também apresenta valores sobre supostas economias no tratamento de doenças e acusa a indústria farmacêutica e a imprensa de esconderem a informação. Confira o conteúdo que circula nas redes: Japão aprova tecnologia de MedBeds em hospitais públicos, enquanto a grande mídia silencia a notícia – 26 de agosto de 2026 Japão aprova tecnologia de MedBeds; grande mídia bloqueia a notícia Segundo o MedBedsTechnologyNew, o Japão tornou-se o primeiro país do mundo a aprovar oficialmente o uso da tecnologia de MedBeds (leitos médicos) em hospitais públicos. A mídia bloqueou completamente essa notícia. 17 de julho de 2026, Tóquio, Japão. O Ministério da Saúde, Trabalho e Bem-Estar do Japão acaba de emitir a Diretriz MHLW-2026-7714: “Aprovação da aplicação clínica de equipamentos de regeneração por frequência eletromagnética em instituições médicas nacionais”. Não se trata de um teste ou estudo, mas de uma aprovação definitiva. A partir de 1º de setembro de 2026, 340 hospitais nacionais em todo o Japão instalarão módulos de regeneração por frequência eletromagnética. Por que o Japão assumiu a liderança nessa adoção? O Japão possui a população mais idosa do mundo. 29,1% dos cidadãos japoneses têm mais de 65 anos. Seu sistema de saúde está entrando em colapso sob o peso do tratamento de doenças crônicas. Em 2024, os gastos com saúde no Japão atingiram US$ 542 bilhões; 80% desse valor foi utilizado para tratar doenças que poderiam ser erradicadas com apenas um ciclo de tratamento utilizando tecnologia de frequência. O governo japonês fez os cálculos: custo do tratamento de câncer ao longo da vida para um paciente: US$ 380.000; custo de um único tratamento com MedBed: US$ 67 (eletricidade + manutenção: US$ 47); economia por paciente: US$ 379.953; e economia anual em nível nacional: US$ 430 bilhões. O Japão escolheu os benefícios econômicos em detrimento da lealdade às empresas farmacêuticas. Escolheu a sobrevivência em vez da inibição. Tecnologia aprovada: A Diretriz nº 2026-7714 do Ministério da Saúde, Trabalho e Bem-Estar do Japão autoriza explicitamente três tipos de equipamentos: Tipo I – Câmara de regeneração por campo eletromagnético pulsado: campo eletromagnético pulsado de 7,83-14,1 Hz para tratamento sistêmico que promove a regeneração celular. Indicações aprovadas: câncer, falência de órgãos, doenças autoimunes. Tipo II – Instrumento de reparo de DNA por campo de torção: utiliza tecnologia de onda escalar de 528 Hz para reparo direcionado do DNA. Indicações aprovadas: doenças genéticas, reversão do envelhecimento, danos nervosos. Restaurador de coerência de biofótons Tipo II: utiliza terapia de frequência de luz de espectro total para reparar o sistema imunológico. Indicações aprovadas: reabilitação pós-infecção crônica ou cirurgia, danos por radiação. Esses três tipos de equipamentos são “camas médicas” (medbeds). O Japão acaba de conceder-lhes números oficiais de classificação médica. Resposta da indústria farmacêutica: Nas três horas seguintes ao anúncio: a Pfizer Japão protestou formalmente junto ao Ministério da Saúde, Trabalho e Bem-Estar; as ações da Takeda Pharmaceutical caíram 11% na Bolsa de Valores de Tóquio; a Astellas Pharma convocou uma reunião de emergência do conselho; circularam rumores de que o CEO renunciaria; e a Associação da Indústria Farmacêutica do Japão classificou a medida como uma “ameaça imprudente à saúde pública”. Eles, na verdade, chamaram a cura de pacientes de “prejuízo à saúde pública”. A definição deles de “saúde pública” é: deixar as pessoas doentes para sempre e incapazes de pagar. Bloqueio da mídia: Basta pesquisar no Google agora por “approved by MedBed Japan” (aprovado pela MedBed Japão) e você não encontrará nada. Não há CNN, BBC, Reuters ou Associated Press. Nada. O fato de um dos membros do G7 ter acabado de aprovar a tecnologia médica mais revolucionária da história da humanidade, enquanto toda a mídia ocidental faz vista grossa, não é um descuido, mas uma supressão organizada. Somente nos Estados Unidos, a indústria farmacêutica gasta US$ 6,58 bilhões anualmente em publicidade na mídia. Esse dinheiro não foi usado apenas para comprar espaço publicitário, mas também, no Japão, para fechar as portas à informação. O que isso significa para você? O Japão é uma rachadura na barragem. Uma vez que um Estado-membro do G7 aprova uma tecnologia, outros países não podem continuar encobrindo a verdade. A pressão se tornará insuportável. Essa ciência e tecnologia foram agora oficialmente reconhecidas por um dos sistemas de saúde mais avançados do mundo. Checagem Não há registro de que o Japão tenha aprovado a tecnologia MedBeds ou a suposta diretriz citada na mensagem. Para entender o caso, analisaremos as seguintes perguntas: 1) Japão aprovou tecnologia de MedBeds em hospitais públicos na diretriz MHLW-2026-7714? 2) O que faz a diretriz MHLW-2026-7714 do Japão? 3) Há outras fake news sobre as MedBeds? Não. A informação é falsa. Não existe registro oficial de que o Japão tenha aprovado uma tecnologia chamada MedBeds para uso em hospitais públicos. A mensagem apresenta uma suposta diretriz do Ministério da Saúde, Trabalho e Bem-Estar do Japão, mas o documento citado não aparece nos registros oficiais. A Agência de Produtos Farmacêuticos e Dispositivos Médicos do Japão (PMDA) também não apresenta a suposta autorização. A referida diretriz “MHLW-2026-7714” é fruto de pura invenção de criadores de desinformação. Como falamos, uma busca aprofundada nas bibliotecas e informes de segurança de dispositivos médicos da Agência de Produtos Farmacêuticos e Dispositivos Médicos do Japão (PMDA) demonstra que o código regulatório simplesmente não existe no ordenamento do país. Sim, essa narrativa é bastante frequente na internet. Em ocasiões anteriores, já desmentimos boatos falsos que afirmavam que o ex-presidente americano Donald Trump havia assinado ordens executivas liberando o uso de MedBeds nos EUA. O conteúdo também ganhou desmentidos na versão em inglês do Boatos.org e na versão em espanhol . Conclusão É falso que o Japão tenha aprovado a tecnologia MedBeds para utilização em hospitais públicos por meio da suposta diretriz MHLW-2026-7714. O documento citado não aparece nos registros oficiais e não há autorização para os equipamentos descritos na mensagem. A história recupera uma teoria conspiratória antiga sobre supostas camas capazes de tratar doenças por meio de frequências e apresenta a narrativa como uma decisão oficial do governo japonês. Fake news ❌ Ps: Esse artigo é uma sugestão de leitores do Boatos.org . Se você quiser sugerir um tema ao Boatos.org , entre em contato com a gente pelo e-mail boatos.org@gmail.com e WhatsApp (link aqui: https://wa.me/556192755610 )	True
https://observador.pt/factchecks/fact-chek-anthony-fauci-pode-ser-condenado-a-cadeira-eletrica-como-se-alega-nas-redes-sociais/	2026-08-26	"Fact Chek. Anthony Fauci pode ser ""condenado à cadeira elétrica"", como se alega nas redes sociais"	Observador	Anthony Fauci poderá ser condenado à cadeira elétrica, por ter enganado a humanidade, obrigando as pessoas a usarem máscaras, ficarem trancadas e tomarem vacinas inúteis, que agora causam doenças.	"Fact Chek. Anthony Fauci pode ser ""condenado à cadeira elétrica"", como se alega nas redes sociais"	True
